Track,Artist,Album,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
Ooo Baby Baby,Smokey Robinson & The Miracles,Going To A Go-Go, 1965,164160,3,0.185,0.344,7,-9.378,1,0.0295,0.81,0,0.166,0.424,178.635,63
The Tears Of A Clown,Smokey Robinson & The Miracles,Make It Happen, 1970,181800,4,0.593,0.607,1,-9.886,1,0.0283,0.147,0,0.128,0.953,128.365,55
I Second That Emotion,Smokey Robinson & The Miracles,The 35th Anniversary Collection, 1967,161226,4,0.711,0.663,2,-9.262,1,0.0308,0.26,1.2E-06,0.0291,0.896,96.812,57
Mickey's Monkey,Smokey Robinson & The Miracles,The Definitive Collection, 1963,194440,4,0.692,0.881,2,-7.089,0,0.0811,0.15,0.0633,0.279,0.733,93.27,28
None Of Us Are Free,Solomon Burke,Don't Give Up On Me, 1964,329386,4,0.674,0.658,5,-9.647,0,0.104,0.404,1.34E-06,0.0981,0.677,143.292,47
Got to Get You Off My Mind,Solomon Burke,Hits & Rarities, 1965,156000,4,0.713,0.494,9,-9.668,1,0.0967,0.616,0,0.0216,0.767,102.456,24
Down in the Valley,Solomon Burke,I Almost Lost My Mind, 1962,144173,4,0.784,0.254,1,-21.408,1,0.0404,0.821,4.88E-06,0.273,0.959,107.953,36
If You Need Me,Solomon Burke,If You Need Me, 1963,154613,3,0.462,0.29,9,-12.225,1,0.0468,0.799,0,0.123,0.481,175.956,38
Just Out of Reach (Of My Two Empty Arms),Solomon Burke,Rock 'N Soul, 1961,164493,4,0.48,0.293,11,-14.683,1,0.0346,0.869,5.59E-05,0.405,0.309,79.833,27
Cry to Me,Solomon Burke,Rock 'N Soul, 1961,154906,4,0.733,0.624,4,-9.849,1,0.0374,0.623,0,0.407,0.912,114.586,70
You're Good for Me,Solomon Burke,The King of Rock 'N' Soul: The Atlantic Recordings (1962-1968), 1962,184453,3,0.556,0.499,8,-10.801,1,0.0258,0.326,2.82E-05,0.106,0.798,97.785,1
The Price,Solomon Burke,The Very Best of Solomon Burke, 1965,167706,3,0.403,0.57,4,-6.624,1,0.034,0.453,1.93E-05,0.318,0.527,153.814,20
Everybody Needs Somebody to Love,Solomon Burke,The Very Best of Solomon Burke, 1964,166066,4,0.629,0.543,8,-9.185,1,0.045,0.145,0,0.116,0.858,75.519,49
There's No One but You - Remastered,Sonny Til & The Orioles,Anthology: The Deluxe Collection (Remastered), 1953,188413,4,0.42,0.186,2,-9.775,0,0.0315,0.906,0.000344,0.182,0.198,68.253,0
Write and Tell Me Why - Remastered,Sonny Til & The Orioles,Anthology: The Deluxe Collection (Remastered), 1952,108426,3,0.234,0.401,0,-8.309,1,0.0294,0.623,0.0115,0.176,0.513,179.97,0
Baby Please Don't Go - Remastered,Sonny Til & The Orioles,Anthology: The Deluxe Collection (Remastered), 1951,144653,4,0.562,0.562,0,-6.598,1,0.0388,0.796,3.83E-05,0.0779,0.896,108.962,2
Crying in the Chapel - Remastered,Sonny Til & The Orioles,Anthology: The Deluxe Collection (Remastered), 1953,181866,4,0.371,0.27,1,-8.746,1,0.0319,0.744,0,0.306,0.485,131.119,32
It's Too Soon to Know,Sonny Til & The Orioles,It's Too Soon to Know / I Miss You So, 1951,149933,4,0.342,0.272,1,-12.463,1,0.124,0.972,0.177,0.0941,0.15,70.574,1
I Just Called To Say I Love You,Stevie Wonder,At The Close Of A Century, 1984,262240,4,0.748,0.551,1,-9.054,1,0.0239,0.243,1.57E-06,0.0943,0.65,113.535,74
Higher Ground,Stevie Wonder,Innervisions, 1973,222600,4,0.716,0.85,8,-9.949,1,0.0426,0.0631,0.00133,0.189,0.821,125.474,65
