Track,Artist,Album,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
Sha-La-La (Make Me Happy),Al Green,Al Green Explores Your Mind, 1974,179840,4,0.747,0.395,0,-13.78,1,0.0321,0.0672,0.0299,0.219,0.85,110.726,46
Take Me to the River,Al Green,Al Green Explores Your Mind, 1974,225373,4,0.786,0.418,9,-11.115,1,0.0432,0.218,0.000158,0.134,0.94,119.101,59
You Ought to Be with Me,Al Green,Call Me, 1972,199066,4,0.711,0.44,7,-11.501,0,0.0332,0.472,0.000149,0.131,0.577,107.603,41
Here I Am (Come and Take Me),Al Green,Call Me, 1973,256693,4,0.815,0.388,11,-12.238,0,0.0364,0.318,8.39E-05,0.0673,0.846,94.558,49
Tired of Being Alone,Al Green,Gets Next to You, 1971,172320,4,0.772,0.397,7,-8.585,1,0.0391,0.339,0.00541,0.0753,0.617,97.964,68
Let's Get Married,Al Green,Greatest Hits, 1973,203320,4,0.702,0.528,9,-8.673,1,0.0372,0.0947,0.000103,0.556,0.962,115.148,37
Love and Happiness,Al Green,I'm Still in Love with You, 1972,307062,4,0.823,0.457,6,-10.961,1,0.234,0.206,0.000183,0.0763,0.735,99.163,62
Let's Stay Together,Al Green,Let's Stay Together, 1971,199396,4,0.756,0.401,7,-10.702,0,0.0526,0.582,0.011,0.0541,0.514,101.954,76
Belle,Al Green,The Belle Album, 1977,289426,4,0.55,0.427,5,-14.106,1,0.0503,0.371,1.89E-06,0.266,0.612,148.009,29
No One,Alicia Keys,As I Am (Expanded Edition), 2007,253813,4,0.644,0.549,1,-5.415,0,0.0285,0.0209,8.85E-06,0.134,0.167,90.04,72
Girl on Fire,Alicia Keys,Girl on Fire (Remixes) - EP, 2012,224920,4,0.482,0.706,9,-5.762,1,0.0607,0.135,0.00106,0.105,0.144,92.513,75
In Common,Alicia Keys,In Common, 2016,209050,4,0.647,0.679,8,-7.092,1,0.0826,0.0182,0,0.0413,0.302,120.138,47
Fallin',Alicia Keys,Songs In A Minor, 2001,210200,3,0.652,0.609,11,-7.519,0,0.037,0.263,0.00101,0.233,0.482,95.986,76
Diary (feat. Tony! Toni! Tone! & Jermaine Paul),Alicia Keys,The Diary Of Alicia Keys, 2003,284160,4,0.663,0.465,8,-9.711,0,0.0317,0.555,0.00183,0.125,0.279,127.932,57
You Don't Know My Name,Alicia Keys,The Diary Of Alicia Keys, 2003,366733,4,0.264,0.663,9,-8.264,1,0.187,0.59,0.00443,0.342,0.249,167.078,66
If I Ain't Got You,Alicia Keys,The Diary Of Alicia Keys, 2004,228706,3,0.609,0.444,7,-9.129,1,0.106,0.603,6.86E-06,0.104,0.166,118.402,83
Try Sleeping with a Broken Heart,Alicia Keys,The Element Of Freedom, 2009,249013,5,0.496,0.821,5,-5.155,1,0.112,0.158,0.246,0.13,0.549,110.977,60
Chicken-Shack Boogie,Amos Milburn,Bewildered, 1948,169573,4,0.594,0.565,0,-10.149,1,0.0512,0.874,0.00622,0.105,0.824,138.768,13
Let's Have A Party,Amos Milburn,Down The Road Apiece -The Best Of Amos Milburn, 1954,155000,4,0.702,0.309,7,-14.263,1,0.072,0.636,0.0607,0.31,0.704,119.59,7
Bad Bad Whiskey,Amos Milburn,Down The Road Apiece -The Best Of Amos Milburn, 1953,178466,4,0.873,0.168,7,-14.465,1,0.0454,0.848,5.04E-05,0.153,0.776,114.65,19
Down The Road Apiece,Amos Milburn,Down The Road Apiece -The Best Of Amos Milburn, 1953,179893,4,0.537,0.716,0,-10.567,1,0.0322,0.971,0.222,0.12,0.876,92.613,25
"One Scotch, One Bourbon, One Beer",Amos Milburn,Down The Road Apiece -The Best Of Amos Milburn, 1953,176240,4,0.908,0.133,2,-17.63,1,0.0934,0.811,0.0938,0.0707,0.281,118.678,38
Think,Aretha Franklin,Aretha Now, 1968,139733,4,0.687,0.63,6,-10.817,1,0.0389,0.251,0,0.221,0.926,110.051,64
I Say a Little Prayer,Aretha Franklin,Aretha Now, 1968,216773,4,0.592,0.355,9,-14.051,1,0.0352,0.478,0,0.0585,0.499,133.032,77
Respect,Aretha Franklin,I Never Loved a Man the Way I Love You, 1967,147600,4,0.805,0.558,0,-5.226,1,0.041,0.164,2.2E-05,0.0546,0.965,114.95,77
Chain of Fools,Aretha Franklin,Lady Soul (With Bonus Selections), 1962,167066,4,0.721,0.567,10,-9.516,1,0.0389,0.221,0,0.465,0.914,116.643,60
(You Make Me Feel Like) A Natural Woman,Aretha Franklin,Lady Soul (With Bonus Selections), 1967,165333,3,0.603,0.271,5,-10.083,1,0.0284,0.679,0,0.141,0.405,110.89,67
Ain't No Way,Aretha Franklin,Soul Queen, 1968,254399,3,0.388,0.316,3,-9.477,1,0.0297,0.8,0.000381,0.086,0.23,135.461,46
Spanish Harlem,Aretha Franklin,The Very Best of Aretha Franklin - The 70's, 1960,213560,4,0.66,0.619,2,-12.577,1,0.0466,0.235,0.00793,0.0828,0.913,115.419,39
Freeway Of Love,Aretha Franklin,Who's Zoomin' Who? (Expanded Edition), 1985,352093,4,0.688,0.899,2,-6.328,1,0.0734,0.242,5.55E-06,0.0223,0.833,126.509,45
Rock Steady,Aretha Franklin,"Young, Gifted and Black", 1971,193573,4,0.749,0.752,7,-10.3,1,0.126,0.0108,0.0954,0.235,0.887,104.7,54
End of the Road - Live On MTV Unplugged,Babyface,Babyface Unplugged NYC 1997, 1997,234040,3,0.506,0.601,3,-8.087,1,0.0369,0.0733,0,0.674,0.486,143.753,28
For The Cool In You,Babyface,For The Cool In You, 1993,293733,4,0.668,0.77,6,-7.661,0,0.0447,0.142,0.515,0.0585,0.611,92.079,36
When Can I See You,Babyface,For The Cool In You, 1994,229600,4,0.754,0.472,8,-11.787,1,0.0807,0.257,2.09E-05,0.121,0.613,169.199,50
Not Going Nowhere,Babyface,Playlist, 1993,323480,3,0.579,0.542,2,-5.632,1,0.0304,0.163,0,0.71,0.482,150.032,14
My Kinda Girl,Babyface,Tender Lover, 1993,279266,4,0.711,0.804,4,-7.148,0,0.0445,0.0548,0.000314,0.0732,0.69,99.927,25
Given A Chance,Babyface,Tender Lover, 1996,261493,4,0.667,0.616,11,-8.218,1,0.0342,0.27,0,0.0434,0.665,77.984,27
Soon as I Get Home,Babyface,Tender Lover, 1993,309640,4,0.718,0.438,6,-8.642,1,0.0332,0.134,0,0.0687,0.537,119.994,40
Whip Appeal - 12-inch Version,Babyface,Tender Lover, 1990,349840,4,0.454,0.548,11,-7.421,0,0.0476,0.309,0,0.076,0.598,73.011,44
Every Time I Close My Eyes (with Kenny G),Babyface,The Day, 1997,296266,4,0.654,0.417,5,-7.699,1,0.025,0.0624,0,0.0963,0.279,143.676,61
Just The Way You Are,Barry White,Barry White - The Collection, 1978,289106,4,0.564,0.327,9,-14.63,1,0.0494,0.166,3.45E-05,0.149,0.309,74.948,61
It's Ecstasy When You Lay Down Next To Me,Barry White,Barry White Sings For Someone You Love, 1977,417600,4,0.882,0.399,7,-10.147,1,0.0386,0.0155,0.238,0.0427,0.794,103.154,47
Love Serenade,Barry White,Barry White's Greatest Hits, 1974,425826,4,0.471,0.207,11,-16.893,0,0.0344,0.198,0.092,0.314,0.454,73.236,37
"Can't Get Enough Of Your Love, Babe",Barry White,Can't Get Enough, 1974,274000,4,0.729,0.78,5,-7.604,1,0.0631,0.114,0.106,0.0759,0.795,111.833,68
I'm Gonna Love You Just A Little More Baby,Barry White,I've Got So Much To Give, 1973,431506,4,0.606,0.486,7,-13.553,0,0.0411,0.0111,0.00144,0.0757,0.81,87.568,55
What Am I Gonna Do With You,Barry White,Just Another Way To Say I Love You, 1975,219440,4,0.625,0.869,2,-9.467,0,0.0293,0.0246,0.0626,0.093,0.89,114.223,52
Let The Music Play - Single Version,Barry White,Let The Music Play (Expanded Edition), 1976,210386,4,0.537,0.812,10,-6.257,1,0.0473,0.0151,0,0.153,0.752,99.325,62
"You're The First, The Last, My Everything - Single Version",Barry White,The Complete 20th Century Records Singles (1973-1979), 1974,212986,4,0.629,0.7,5,-7.139,1,0.0299,0.00221,0.000208,0.42,0.912,131.007,44
Stand By Me,Ben E. King,Don't Play That Song (Mono), 1961,180055,4,0.65,0.306,9,-9.443,1,0.0393,0.57,7.07E-06,0.0707,0.605,118.068,77
Amor,Ben E. King,Spanish Harlem, 1961,187400,4,0.548,0.566,10,-11.876,1,0.0307,0.672,1.22E-05,0.112,0.805,100.813,33
Spanish Harlem,Ben E. King,Spanish Harlem, 1960,174293,4,0.608,0.594,2,-11.86,1,0.0435,0.32,4.75E-05,0.129,0.789,125.166,56
"Supernatural Thing, Pt. 1",Ben E. King,Supernatural Thing, 1975,251560,4,0.724,0.579,10,-10.933,0,0.0575,0.201,0.00856,0.0724,0.833,94.92,48
Run the World (Girls),Beyonce,4, 2011,236093,4,0.732,0.899,0,-4.237,1,0.143,0.00496,4.64E-05,0.372,0.759,127.091,70
Love On Top,Beyonce,4, 2011,267413,4,0.652,0.749,0,-5.248,1,0.0886,0.0848,0,0.604,0.651,94.103,73
Irreplaceable,Beyonce,B'Day Deluxe Edition, 2006,227853,4,0.447,0.694,7,-4.637,0,0.382,0.0293,5.46E-06,0.167,0.509,175.868,69
XO,Beyonce,BEYONCÉ [Platinum Edition], 2013,215946,4,0.47,0.793,0,-8.929,1,0.26,0.164,1.31E-06,0.313,0.216,170.1,65
Drunk in Love (feat. Jay-Z),Beyonce,BEYONCÉ [Platinum Edition], 2013,323480,4,0.583,0.621,5,-6.902,0,0.0479,0.00972,0.00106,0.181,0.399,140.036,71
Crazy In Love (feat. Jay-Z),Beyonce,Dangerously In Love, 2003,236133,4,0.646,0.77,2,-6.596,0,0.226,0.00249,0,0.0715,0.681,99.165,79
If I Were a Boy,Beyonce,I AM...SASHA FIERCE, 2008,249146,4,0.632,0.518,6,-6.126,1,0.0313,0.107,0,0.354,0.427,90.007,64
Single Ladies (Put a Ring on It),Beyonce,I AM...SASHA FIERCE, 2008,193213,4,0.426,0.584,1,-5.293,1,0.296,0.0383,0,0.188,0.272,193.437,64
Halo,Beyonce,I AM...SASHA FIERCE, 2008,261640,4,0.508,0.72,11,-5.908,0,0.0628,0.272,0,0.0563,0.472,79.983,72
Formation,Beyonce,Lemonade, 2016,206080,4,0.896,0.621,5,-6.857,0,0.237,0.00532,0,0.196,0.818,121.966,68
"Morning, Noon and Night",Big Joe Turner,Big Joe Turner: The Rhythm & Blues Years, 1956,162639,4,0.717,0.504,8,-5.672,1,0.0431,0.667,0,0.104,0.733,145.846,10
TV Mama,Big Joe Turner,Big Joe Turner: The Rhythm & Blues Years, 1953,169426,4,0.708,0.653,2,-6.452,1,0.0333,0.781,0.00157,0.15,0.846,93.861,10
Honey Hush,Big Joe Turner,Big Joe Turner: The Rhythm & Blues Years, 1953,162946,4,0.472,0.592,7,-7.532,0,0.0681,0.586,0,0.125,0.671,169.218,27
Roll 'Em Pete,Big Joe Turner,Jumpin' With Joe, 1938,175200,4,0.601,0.414,7,-11.204,0,0.0412,0.976,0,0.0664,0.716,95.289,27
Flip Flop and Fly,Big Joe Turner,San Francisco 1977, 1955,375213,4,0.568,0.631,5,-10.63,1,0.0545,0.934,0.021,0.778,0.869,102.248,2
Cherry Red,Big Joe Turner,Shake Rattle & Rock, 1955,175000,4,0.722,0.189,7,-14.782,0,0.0544,0.983,0.031,0.105,0.767,123.275,4
Low Down Dog,Big Joe Turner,Shake Rattle & Rock, 1951,223066,4,0.531,0.38,0,-10.628,1,0.0354,0.795,2.01E-05,0.0981,0.819,172.201,8
Boogie Woogie Country Girl,Big Joe Turner,Shake Rattle & Rock, 1951,177439,4,0.773,0.733,7,-6.535,0,0.0353,0.559,0.00374,0.023,0.951,89.846,28
Corrine Corrina,Big Joe Turner,Shake Rattle & Rock, 1951,173760,4,0.498,0.79,10,-3.727,1,0.0302,0.718,0,0.0963,0.956,79.226,29
"Shake, Rattle and Roll",Big Joe Turner,Shake Rattle & Rock, 1954,179626,4,0.612,0.584,8,-6.296,1,0.0623,0.788,3.13E-06,0.193,0.845,154.704,43
Harlem,Bill Withers,Just As I Am, 1978,203760,4,0.768,0.497,7,-9.211,1,0.0429,0.0928,0,0.157,0.778,113.845,45
Grandma's Hands,Bill Withers,Just As I Am, 1971,121080,4,0.731,0.312,4,-14.939,0,0.0878,0.593,1.69E-06,0.111,0.578,82.366,66
Ain't No Sunshine,Bill Withers,Just As I Am, 1971,125093,4,0.527,0.415,4,-11.451,0,0.122,0.457,1.72E-05,0.117,0.515,78.169,83
The Same Love That Made Me Laugh,Bill Withers,Justments, 1977,204706,4,0.8,0.544,2,-10.02,0,0.0285,0.359,0.00324,0.108,0.713,99.952,50
Lovely Day,Bill Withers,Menagerie, 1977,254560,4,0.692,0.651,9,-8.267,1,0.0324,0.292,0.00241,0.105,0.706,97.923,82
Kissing My Love,Bill Withers,Still Bill, 1977,231044,4,0.825,0.526,1,-13.079,1,0.183,0.3,0.000152,0.0552,0.891,93.654,48
Who Is He (And What Is He to You)?,Bill Withers,Still Bill, 1972,194427,4,0.921,0.313,1,-12.543,0,0.0368,0.104,0.00118,0.0821,0.957,99.3,57
Use Me,Bill Withers,Still Bill, 1972,228326,4,0.758,0.586,11,-13.461,0,0.056,0.033,0.0028,0.0743,0.947,154.629,66
Lean on Me,Bill Withers,Still Bill, 1972,258834,4,0.619,0.22,0,-13.843,1,0.0672,0.782,1.19E-05,0.124,0.426,75.143,69
Before You Accuse Me (Take A Look At Yourself),Bo Diddley,Bo Diddley, 1960,184373,4,0.72,0.206,11,-16.428,0,0.0462,0.867,1.18E-05,0.129,0.647,107.806,32
Who Do You Love,Bo Diddley,Bo Diddley, 1956,147373,4,0.64,0.729,1,-13.494,1,0.0453,0.862,0,0.111,0.683,113.19,39
Pretty Thing,Bo Diddley,Bo Diddley, 1955,164733,4,0.831,0.408,9,-14.762,1,0.0413,0.55,0.0312,0.14,0.697,118.017,40
Bo Diddley,Bo Diddley,Bo Diddley, 1955,149013,4,0.809,0.701,0,-12.484,1,0.0574,0.176,0,0.184,0.563,105.696,48
I'm A Man,Bo Diddley,Bo Diddley, 1955,164546,4,0.513,0.546,0,-15.672,1,0.0391,0.333,0,0.17,0.834,85.527,55
Cadillac,Bo Diddley,Bo Diddley Is A Gunslinger, 1959,164240,4,0.495,0.895,5,-5.957,1,0.0602,0.796,0.000888,0.166,0.781,113.531,14
Say Man,Bo Diddley,Go Bo Diddley, 1959,190413,4,0.76,0.577,8,-14.973,1,0.198,0.16,0,0.0522,0.792,122.299,20
Mona,Bo Diddley,"I'm A Man: The Chess Masters, 1955-1958", 1957,140786,4,0.484,0.711,8,-7.486,1,0.0355,0.874,0.000268,0.113,0.874,105.593,24
You Can't Judge A Book By Its Cover,Bo Diddley,The Chess Box, 1962,194853,4,0.847,0.322,1,-12.922,1,0.0546,0.239,0,0.0778,0.946,114.557,40
Diddley Daddy,Bo Diddley,The Super Super Blues Band, 1957,311506,4,0.649,0.434,4,-12.655,1,0.0332,0.157,0,0.141,0.768,83.442,25
That's The Way I Feel About 'Cha,Bobby Womack,Communication, 1972,310226,4,0.439,0.443,2,-11.116,1,0.0373,0.567,5.98E-05,0.57,0.716,106.382,39
Lookin' For A Love,Bobby Womack,Lookin' For Love Again, 1968,153653,4,0.697,0.844,9,-6.573,1,0.0325,0.693,0.395,0.0883,0.939,120.19,26
Across 110th Street,Bobby Womack,Midnight Mover: The Bobby Womack Story, 1972,230506,4,0.476,0.585,11,-14.211,0,0.0478,0.107,1.43E-05,0.149,0.523,110.275,58
The Preacher/More Than I Can Stand Medley,Bobby Womack,The Best Of Bobby Womack - The Soul Years, 1972,383080,4,0.427,0.567,2,-7.927,1,0.0684,0.457,3.6E-06,0.182,0.494,116.895,14
Harry Hippie,Bobby Womack,The Best Of Bobby Womack - The Soul Years, 1972,226786,4,0.46,0.475,4,-7.467,1,0.0315,0.384,1.97E-06,0.171,0.507,73.207,32
Woman's Gotta Have It,Bobby Womack,The Best Of Bobby Womack - The Soul Years, 1972,210453,4,0.506,0.59,11,-8.922,0,0.0302,0.567,2.1E-05,0.17,0.735,83.627,41
If You Think You're Lonely Now,Bobby Womack,The Poet, 1981,333160,4,0.651,0.524,0,-11.63,0,0.0943,0.51,9.25E-05,0.128,0.651,72.766,53
Uhh Ahh,Boyz II Men,Cooleyhighharmony - Expanded Edition, 1991,228866,4,0.722,0.658,2,-8.236,1,0.081,0.151,0,0.233,0.647,126.008,39
It's So Hard To Say Goodbye To Yesterday,Boyz II Men,Cooleyhighharmony - Expanded Edition, 1991,168626,3,0.3,0.224,4,-11.079,1,0.0265,0.915,0,0.159,0.286,87.1,49
Motownphilly,Boyz II Men,Cooleyhighharmony (Bonus Tracks Version), 1991,235226,4,0.754,0.857,2,-9.699,1,0.0605,0.0143,2.34E-05,0.278,0.787,114.143,58
End Of The Road,Boyz II Men,Cooleyhighharmony (Bonus Tracks Version), 1992,351466,3,0.641,0.428,5,-9.29,0,0.024,0.0666,0,0.0579,0.53,149.705,70
A Song For Mama,Boyz II Men,Evolution, 1997,303373,4,0.569,0.44,7,-8.948,1,0.0349,0.467,0,0.143,0.148,75.001,49
Water Runs Dry,Boyz II Men,II, 1995,201400,4,0.589,0.368,0,-12.979,1,0.0271,0.475,0,0.108,0.509,89.63,51
On Bended Knee,Boyz II Men,II, 1994,329800,4,0.631,0.516,8,-8.225,1,0.0353,0.413,0,0.115,0.18,116.655,56
I'll Make Love To You,Boyz II Men,II, 1994,236773,3,0.567,0.501,2,-8.038,1,0.0241,0.0994,0,0.0986,0.201,142.595,61
I Will Get There - A Cappella,Boyz II Men,The Prince Of Egypt (Music From The Original Motion Picture Soundtrack), 1998,260838,4,0.548,0.286,1,-13.704,1,0.0287,0.806,0,0.112,0.513,109.683,33
Single Life,Cameo,Anthology, 1985,266693,4,0.755,0.761,7,-8.409,1,0.0598,0.108,0.000356,0.292,0.827,110.605,42
Why Have I Lost You,Cameo,Cameosis, 1980,314466,4,0.619,0.359,7,-12.604,1,0.111,0.271,0,0.111,0.571,134.28,37
Skin I'm In,Cameo,Machismo, 1980,385800,4,0.729,0.592,4,-12.584,0,0.0714,0.0798,0.00301,0.215,0.721,101.738,15
I Just Want To Be,Cameo,Secret Omen, 1981,318600,4,0.947,0.382,10,-16.013,0,0.143,0.0186,0,0.191,0.885,120.028,30
Talkin' Out The Side Of Your Neck,Cameo,She's Strange, 1983,245533,4,0.696,0.64,9,-11.687,1,0.111,0.265,6.17E-05,0.196,0.938,88.179,22
She's Strange,Cameo,She's Strange, 1984,431666,4,0.816,0.593,1,-11.751,1,0.0867,0.136,0.0358,0.0631,0.883,109.006,38
It's Serious,Cameo,We All Know Who We Are, 1980,489226,4,0.868,0.671,7,-10.284,1,0.0393,0.0514,0.345,0.0366,0.957,122.342,33
Back And Forth,Cameo,Word Up, 1985,392266,4,0.908,0.424,6,-13.362,0,0.0485,0.0495,0.00636,0.0467,0.941,112.142,38
Candy,Cameo,Word Up, 1986,339933,4,0.705,0.709,11,-12.649,0,0.0489,0.119,1.69E-05,0.286,0.853,110.522,60
Word Up,Cameo,Word Up, 1986,260000,4,0.878,0.84,6,-13.105,0,0.064,0.0421,0.0035,0.053,0.882,116.222,63
I'm Every Woman,Chaka Khan,Chaka, 1978,249600,4,0.603,0.886,0,-7.301,0,0.0465,0.0418,0.000171,0.295,0.727,114.045,65
Ain't Nobody,Chaka Khan,"Epiphany: The Best of Chaka Khan, Vol. 1", 1983,280853,4,0.8,0.878,1,-7.109,1,0.0434,0.189,0.000104,0.14,0.816,104.282,64
I Feel for You,Chaka Khan,I Feel for You, 1984,343400,4,0.698,0.912,11,-8.993,1,0.0675,0.0145,0.0225,0.279,0.797,124.917,60
Through the Fire,Chaka Khan,I Feel for You, 1984,288653,4,0.563,0.593,8,-7.099,1,0.0322,0.192,1.85E-05,0.145,0.428,130.744,62
Papillon (aka Hot Butterfly),Chaka Khan,Naughty, 1975,247666,4,0.524,0.566,9,-8.024,1,0.0351,0.315,3.29E-05,0.112,0.429,91.456,34
Tell Me Something Good,Chaka Khan,Rags To Rufus, 1974,277066,4,0.666,0.577,1,-7.916,1,0.22,0.659,0,0.569,0.783,74.29,51
Stay,Chaka Khan,Street Player, 1983,339880,4,0.68,0.504,4,-11.15,0,0.0359,0.446,0.00273,0.0778,0.785,95.241,37
What Cha' Gonna Do for Me,Chaka Khan,What Cha' Gonna Do for Me, 1981,234266,4,0.684,0.64,5,-9.906,0,0.0309,0.221,0.0102,0.179,0.776,106.023,47
Chic Cheer - 2018 Remaster,CHIC,C'est Chic (2018 Remaster), 1978,284666,4,0.862,0.67,2,-15.172,1,0.326,0.00285,0.185,0.845,0.534,113.05,36
My Forbidden Lover,CHIC,"Dance, Dance, Dance: The Best of Chic", 1979,274066,4,0.81,0.85,2,-9.77,1,0.0352,0.0286,1.72E-06,0.313,0.889,106.625,23
Good Times,CHIC,"Dance, Dance, Dance: The Best of Chic", 1979,495400,4,0.87,0.657,2,-7.32,1,0.0521,0.149,0.0102,0.053,0.893,110.596,39
Everybody Dance,CHIC,Good Times: The Very Best Of Chic & Sister Sledge, 1978,247666,4,0.833,0.686,5,-8.735,1,0.119,0.00665,0.000771,0.0959,0.947,128.016,45
Le Freak,CHIC,Le Freak / Savior Faire, 1978,210246,4,0.847,0.491,7,-15.707,1,0.054,0.0363,0.000687,0.186,0.875,119.873,48
Burn Hard,CHIC,Take It Off, 1980,312893,4,0.798,0.539,2,-14.701,1,0.0408,0.0214,0.488,0.157,0.841,109.409,14
I Want Your Love,CHIC,The Very Best of Chic, 1978,415466,4,0.706,0.723,9,-9.235,0,0.0382,0.0232,0.0444,0.0994,0.937,113.126,29
Brown Eyed Handsome Man,Chuck Berry,After School Session, 1956,137106,4,0.515,0.902,3,-7.085,1,0.202,0.919,6.25E-06,0.17,0.873,180.07,36
Little Queenie,Chuck Berry,Berry Is On Top, 1959,163800,4,0.673,0.764,7,-10.392,0,0.087,0.735,0,0.238,0.662,151.312,40
Maybellene,Chuck Berry,Berry Is On Top, 1955,143240,4,0.756,0.768,0,-10.701,1,0.112,0.735,0,0.182,0.783,118.208,54
Roll Over Beethoven,Chuck Berry,Berry Is On Top, 1956,144600,4,0.715,0.797,3,-10.154,1,0.193,0.837,0,0.209,0.841,92.739,61
Johnny B. Goode,Chuck Berry,Berry Is On Top, 1958,161560,4,0.534,0.803,10,-9.129,1,0.0743,0.741,6.07E-05,0.307,0.969,167.983,77
"Memphis, Tennessee",Chuck Berry,Chuck Berry On Stage (Expanded Edition), 1959,131800,4,0.785,0.432,8,-8.333,0,0.044,0.768,1.61E-06,0.153,0.824,97.746,49
School Days - 1967 Version,Chuck Berry,Chuck Berry's Golden Hits, 1957,154826,4,0.534,0.8,7,-10.588,1,0.089,0.00251,0.226,0.176,0.807,137.989,12
Rock And Roll Music,Chuck Berry,One Dozen Berry's, 1957,151773,4,0.529,0.768,8,-6.201,1,0.0446,0.418,0.000947,0.0655,0.871,165.225,52
Sweet Little Sixteen,Chuck Berry,One Dozen Berry's, 1958,180746,4,0.507,0.627,1,-7.838,1,0.0354,0.575,0,0.198,0.962,175.309,59
Betty and Dupree,Chuck Willis,I Remember Chuck Willis (US Internet Release), 1957,146360,3,0.61,0.573,10,-7.003,1,0.0311,0.755,1.25E-05,0.132,0.812,135.208,15
What Am I Living For,Chuck Willis,I Remember Chuck Willis (US Internet Release), 1958,146800,3,0.667,0.391,10,-8.712,1,0.0258,0.728,0,0.0809,0.682,101.3,25
Hang up My Rock and Roll Shoes,Chuck Willis,I Remember Chuck Willis (US Internet Release), 1958,139906,4,0.632,0.641,5,-7.647,1,0.0659,0.655,0,0.071,0.923,131.476,27
C.C. Rider,Chuck Willis,I Remember Chuck Willis (US Internet Release), 1957,150200,3,0.694,0.608,3,-5.946,1,0.0469,0.621,0,0.106,0.57,140.801,30
My Story (with The Royals),Chuck Willis,R&B: From Doo-Wop To Hip-Hop, 1957,189440,3,0.339,0.102,10,-12.955,1,0.0573,0.976,0.0021,0.142,0.295,180.958,15
You're Still My Baby,Chuck Willis,The Complete Okeh Recordings 1951-1956, 1959,188200,3,0.442,0.123,5,-12.566,1,0.0287,0.941,1.58E-05,0.0937,0.416,95.898,1
I Feel So Bad,Chuck Willis,The Complete Okeh Recordings 1951-1956, 1958,173040,4,0.479,0.42,10,-11.542,1,0.048,0.767,0.0014,0.121,0.902,177.661,14
Juanita,Chuck Willis,The King Of The Stroll, 1958,157960,3,0.544,0.491,5,-5.031,1,0.0355,0.845,0,0.121,0.58,105.997,4
It's Too Late,Chuck Willis,The King Of The Stroll, 1959,155880,4,0.353,0.338,5,-7.802,1,0.028,0.792,0,0.376,0.523,100.533,15
People Get Ready,Curtis Mayfield,Akeelah and the Bee (Original Motion Picture Soundtrack), 1965,159320,3,0.433,0.353,6,-9.196,1,0.0315,0.577,0.000289,0.146,0.321,143.082,27
Move On Up,Curtis Mayfield,People Never Give Up, 1970,165789,4,0.538,0.969,11,-5.626,0,0.0907,0.419,0.00144,0.12,0.928,138.654,54
Beautiful Brother of Mine,Curtis Mayfield,Roots, 1973,447200,4,0.548,0.821,6,-6.171,0,0.0687,0.097,2.17E-05,0.324,0.508,124.143,21
Keep on Keeping On,Curtis Mayfield,Roots, 1971,308293,4,0.402,0.797,8,-8.095,1,0.0661,0.214,0,0.335,0.725,98.937,29
Freddie's Dead,Curtis Mayfield,Superfly (Original Soundtrack), 1972,328333,4,0.542,0.806,1,-6.299,0,0.0813,0.106,0.000523,0.0709,0.922,91.289,31
Pusherman,Curtis Mayfield,Superfly (Original Soundtrack), 1972,300693,4,0.85,0.669,10,-9.562,1,0.0379,0.238,0.0855,0.108,0.91,126.624,44
Superfly,Curtis Mayfield,Superfly (Original Soundtrack), 1972,233600,4,0.784,0.708,2,-9.141,1,0.11,0.457,7.5E-05,0.0913,0.748,120.11,56
Give Me Your Love (Love Song),Curtis Mayfield,Superfly: Deluxe 25th Anniversary Edition, 1973,260333,4,0.591,0.637,5,-9.102,0,0.0887,0.128,0.0195,0.0989,0.962,172.452,38
Make Me Believe in You,Curtis Mayfield,Sweet Exorcist, 1973,328920,4,0.772,0.76,1,-8.817,0,0.0478,0.24,0.00622,0.032,0.927,111.257,31
1000 Deaths,D'Angelo,Black Messiah, 2014,349693,4,0.642,0.807,10,-9.236,0,0.24,0.0083,0.362,0.131,0.635,86.909,34
The Charade,D'Angelo,Black Messiah, 2014,200840,4,0.671,0.733,7,-7.88,1,0.0653,0.254,0.218,0.207,0.462,120.08,36
Really Love,D'Angelo,Black Messiah, 2014,344346,4,0.638,0.395,4,-11.299,0,0.1,0.724,0.569,0.0761,0.316,78.516,51
Me And Those Dreamin' Eyes Of Mine,D'Angelo,Brown Sugar, 1995,286800,4,0.512,0.401,4,-10.695,0,0.217,0.7,0.000143,0.11,0.503,83.339,44
Cruisin',D'Angelo,Brown Sugar, 1995,384666,4,0.373,0.525,1,-12.728,0,0.169,0.38,0.000454,0.0816,0.328,74.764,54
Brown Sugar,D'Angelo,Brown Sugar, 1995,262893,4,0.717,0.486,9,-8.342,1,0.169,0.529,0.0318,0.102,0.579,83.077,57
Lady,D'Angelo,Brown Sugar, 1995,346266,4,0.815,0.365,8,-11.835,0,0.0875,0.14,0.0258,0.121,0.721,84.9,58
Chicken Grease,D'Angelo,Voodoo, 2000,278573,4,0.897,0.497,11,-10.093,0,0.312,0.109,0.0125,0.658,0.688,91.088,41
Send It On,D'Angelo,Voodoo, 2000,356493,3,0.788,0.258,5,-11.758,1,0.104,0.171,0.00721,0.326,0.335,127.492,55
