Track Name,Artist,Album,Genre,Release Year
Respect,Aretha Franklin,Soul Queen,R&B/Soul,1967
At Last,Beyoncé,Cadillac Records (Music from the Motion Picture) [Deluxe Version],R&B/Soul,2008
Someone to Call My Lover,Janet Jackson,All for You,Pop,2001
More,Tamia,More,R&B/Soul,2004
Shirt,SZA,SOS Deluxe: LANA,R&B/Soul,2022
Father Figure (2010 Remastered Version),George Michael,Faith (Deluxe Edition) [2010 Remastered Version],Pop,1987
Kill Bill (feat. Doja Cat),SZA,Kill Bill (feat. Doja Cat) - Single,R&B/Soul,2023
Red Light Spells Danger,Billy Ocean,The Very Best of Billy Ocean,Pop,1980
The Sweetest Taboo,Sade,The Best of Sade,R&B/Soul,1985
Luv Dancin' (feat. Jasmine) [Extended Vocal],Underground Solution,Luv Dancin' (feat. Jasmine) [Remixes] - EP,R&B/Soul,1990
Teardrops,Womack & Womack,Conscience,R&B/Soul,1988
Take Me in Your Arms (Original Vocals Version),Lil Suzy,Love Can't Wait,R&B/Soul,1991
He Wasn't Man Enough,Toni Braxton,The Heat,R&B/Soul,2000
Save Your Tears (Remix),The Weeknd & Ariana Grande,Save Your Tears (Remix) - Single,R&B/Soul,2021
Sex with Me,Rihanna,ANTI (Deluxe),Pop,2016
Do You Really Want to Hurt Me,Culture Club,Kissing to Be Clever,Pop,1982
Knock You Down (feat. Kanye West & Ne-Yo),Keri Hilson,In a Perfect World... (Bonus Track Version),R&B/Soul,2008
Black Heart,Stooshe,Black Heart (Remixes) - EP,Pop,2012
Get Right,Jennifer Lopez,Rebirth,R&B/Soul,2005
Don't Think I'm Not,Kandi,Hey Kandi...,R&B/Soul,2000
Ex-Factor,Lauryn Hill,The Miseducation of Lauryn Hill,R&B/Soul,1998
Don't Let Go (Love),En Vogue,Ev3,Pop,1996
No Ordinary Love,Sade,Love Deluxe,R&B/Soul,1992
The Beautiful Ones,Prince & The Revolution,Purple Rain,Pop,1984
Young Hearts Run Free,Candi Staton,Young Hearts Run Free,R&B/Soul,1976
Stole,Kelly Rowland,Simply Deep (French and Australian Edition),R&B/Soul,2002
ALLIIGATOR TEARS,Beyoncé,COWBOY CARTER,R&B/Soul,2024
Valerie (feat. Amy Winehouse) [Version Revisited],Mark Ronson,Version (Bonus Tracks),R&B/Soul,2007
The Best (Single Edit),Tina Turner,Simply the Best,R&B/Soul,1989
What Would You Do?,City High,City High,R&B/Soul,2001
Love Don't Live Here Anymore,Rose Royce,The Very Best of Rose Royce,R&B/Soul,1978
Thief of Hearts,Madonna,Erotica,Pop,1992
Beautiful Monster,Ne-Yo,Beautiful Monster - Single,R&B/Soul,2010
Dangerous Woman,Ariana Grande,Dangerous Woman,Pop,2016
Thong Song,Sisqó,Unleash The Dragon,R&B/Soul,1999
You're Makin' Me High,Toni Braxton,Secrets (Remix Package),R&B/Soul,1996
